店铺名称,省份,城市,地区,地址,经度,纬度,所属品类,是否为品牌店,配送,电话,营业时间,近期销量,活动,起送价,配送费,是否为新店,商家评分,总体评分,味道评分,包装评分,配送评分,配送时间,商品评分,服务态度,评价总数,好评数,差评数,有图
麻辣香锅,安徽省,铜陵市,铜官区,铜陵市铜庄五区15栋3号网点,117.814006,30.927709,香锅砂锅|麻辣烫|,否,no,18756200838,"[""10:00/02:00""]",432,"1 ： 单品定价;2 ： 新用户下单立减10元;",30,配送费3,否,4.4166666666667,4.4166666666667,3.2962962962963,3.4212962962963,3.1527777777778,39,3.4212962962963,3.2962962962963,228,194,17,57
木子鸡,安徽省,铜陵市,铜官区,铜陵市义安新村5段网点2号,117.80984,30.936376,炸鸡炸串|奶茶果汁|,否,蜂鸟专送,18856251862,"[""10:50/19:10""]",1,"1 ： 满20减3;2 ： 新用户下单立减10元;",15,配送费40,否,0,0,0,0,0,0,0,0,0,0,0,0
意口福汤包馆,安徽省,铜陵市,铜官区,铜陵市金山中路1691号（金色兰庭3号楼2号网点）,117.803033,30.921381,包子粥店|简餐|,否,蜂鸟专送,05622198877,"[""07:00/04:00""]",103,"1 ： 折扣;2 ： 折扣;3 ： 折扣;",12,配送费4,否,4.1818181818182,4.1818181818182,3.1818181818182,3.3181818181818,4.1363636363636,0,3.3181818181818,3.1818181818182,22,17,4,1
首度炸鸡,安徽省,铜陵市,铜官区,铜陵市新光路20号网点,117.80168,30.922117,炸鸡炸串|地方小吃|,否,蜂鸟专送,15756045303,"[""10:00/21:00""]",42,"1 ： 满20减2，满30减3，满40减4，满50减5;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;7 ： 单品定价;8 ： 单品定价;9 ： 单品定价;10 ： 单品定价;11 ： 超值换购;",15,配送费4,否,4.75,4.75,3.125,3.125,2.75,0,3.125,3.125,8,8,0,0
京成一品麻辣香锅冒菜(汇金广场店),安徽省,铜陵市,铜官区,铜陵市铜陵商城汇金大厦负一层B1-12商铺,117.810816,30.929922,其他菜系|,否,蜂鸟专送,15161628185,"[""10:00/20:30""]",5,"1 ： 新用户下单立减10元;",15,配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
鹏鹏小吃店(杨家山店),安徽省,铜陵市,铜官区,铜官区杨家山路网点77号,117.813788,30.923988,盖浇饭|米粉面馆|,否,蜂鸟专送,18956270814,"[""08:00/20:00""]",10,"1 ： 满20减6，满30减8，满40减10;2 ： 新用户下单立减10元;",10,远距离配送费5,否,4,4,3.6666666666667,4.3333333333333,5,0,4.3333333333333,3.6666666666667,3,2,0,0
川福夫妻肺片(爱国路店),安徽省,铜陵市,铜官区,安徽省铜陵市爱国路106号网点,117.806579,30.922889,鸭脖卤味|地方小吃|,否,蜂鸟专送,18756224267,"[""08:30/12:30"",""15:30/20:00""]",2,"1 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
老家庭院品质菜馆(双星国际店),安徽省,铜陵市,铜官区,铜陵市双星国际大厦2A1号,117.81075057,30.92824694,简餐|川湘菜|,否,蜂鸟专送,13965237302,"[""09:00/22:30""]",50,"1 ： 满100减10;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;",12,配送费3,否,4,4,3.8888888888889,4.1111111111111,4.5555555555556,0,4.1111111111111,3.8888888888889,9,6,1,0
王一碗,安徽省,铜陵市,铜官区,铜陵市沙河新村汇丰广场一层13号网点,117.814274,30.928462,川湘菜|,否,蜂鸟专送,13856247869,"[""09:00/21:00""]",2,"1 ： 新用户下单立减10元;",10,远距离配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
八戒港式铁板炒饭,安徽省,铜陵市,铜官区,铜官区人民二路459号网点,117.814808,30.93064,盖浇饭|地方小吃|,否,蜂鸟专送,13305623871,"[""09:30/20:30""]",18,"1 ： 满100减10;2 ： 单品折扣;3 ： 新用户下单立减10元;4 ： 单品折扣;5 ： 单品折扣;6 ： 单品折扣;7 ： 单品折扣;8 ： 单品折扣;9 ： 单品折扣;10 ： 单品折扣;11 ： 单品折扣;12 ： 单品折扣;13 ： 单品折扣;14 ： 单品折扣;15 ： 单品折扣;16 ： 单品折扣;17 ： 单品折扣;18 ： 单品折扣;19 ： 单品折扣;20 ： 单品折扣;21 ： 单品折扣;22 ： 单品折扣;23 ： 单品折扣;24 ： 单品折扣;25 ： 单品折扣;26 ： 单品折扣;27 ： 单品折扣;28 ： 单品折扣;29 ： 单品折扣;",15,远距离配送费5,否,5,5,2.5,2.5,2,0,2.5,2.5,2,2,0,0
亚麻大食堂,安徽省,铜陵市,铜官区,铜陵市铜官大道1171号（华源麻业旁）,117.79466,30.92918,简餐|地方小吃|,否,no,18256291488,"[""05:30/13:00""]",1,"1 ： 满100减1;2 ： 新用户下单立减10元;",10,配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
野塘湖龙虾城(铜庄店),安徽省,铜陵市,铜官区,铜官区铜庄五区7栋1层部分区域,117.80416,30.92403,小龙虾|烧烤|,否,蜂鸟专送,15956208633,"[""17:30/02:00""]",,"1 ： 新用户下单立减10元;",15,配送费4,是,0,0,0,0,0,0,0,0,0,0,0,0
赵伟川味龙虾特色羊肉馆,安徽省,铜陵市,铜官区,安徽省铜陵市铜官路24号,117.812179,30.919384,川湘菜|小龙虾|,否,蜂鸟专送,18756205521,"[""10:30/13:30"",""16:00/24:00""]",1,"1 ： 满100减1;",20,远距离配送费5,否,0,0,0,0,0,0,0,0,0,0,0,0
佬俵食品,安徽省,铜陵市,铜官区,铜陵市长江西路,117.809294748,30.931327356938,甜品|蛋糕|,否,蜂鸟专送,18756229010,"[""09:30/22:00""]",1,"1 ： 满100减1;2 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
"Best coffee/最好的咖啡",安徽省,铜陵市,铜官区,铜陵市世纪商城5号楼33号网点房,117.811057,30.925658,甜品|咖啡|,否,蜂鸟专送,15056207778,"[""10:00/21:00""]",1,"1 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
猫山王（汇金店）,安徽省,铜陵市,铜官区,铜陵市淮河路汇金广场33号,117.810433,30.928557,甜品|,否,蜂鸟专送,13955917252,"[""14:40/21:00""]",41,"1 ： 单品定价;2 ： 单品定价;3 ： 单品定价;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;7 ： 单品定价;8 ： 单品定价;9 ： 单品定价;10 ： 单品定价;11 ： 单品定价;12 ： 单品定价;13 ： 单品定价;14 ： 单品定价;15 ： 单品定价;16 ： 单品定价;17 ： 单品定价;18 ： 单品定价;19 ： 单品定价;20 ： 单品定价;21 ： 单品定价;22 ： 单品定价;23 ： 单品定价;24 ： 单品定价;25 ： 单品定价;26 ： 单品定价;27 ： 单品定价;28 ： 单品定价;29 ： 单品定价;30 ： 单品定价;31 ： 单品定价;32 ： 单品定价;33 ： 单品定价;34 ： 单品定价;35 ： 单品定价;36 ： 单品定价;37 ： 单品定价;38 ： 单品定价;39 ： 单品定价;40 ： 单品定价;41 ： 单品定价;42 ： 单品定价;43 ： 单品定价;44 ： 单品定价;45 ： 单品定价;46 ： 单品定价;47 ： 单品定价;",20,配送费3,否,4.5,4.5,4.5,4.5,4.5,24,4.5,4.5,6,5,1,0
武汉油焖虾皇,安徽省,铜陵市,铜官区,铜官区五松新村11号网点,117.805208,30.92816,小龙虾|地方小吃|,否,蜂鸟专送,18605621181,"[""17:30/24:00""]",44,"1 ： 新用户下单立减10元;",15,配送费4,否,4.3571428571429,4.3571428571429,4.1428571428571,4.2142857142857,4.4285714285714,0,4.2142857142857,4.1428571428571,14,12,0,3
如意菜馆(杨家山店),安徽省,铜陵市,铜官区,安徽省铜陵市爱国路34号,117.811342,30.922641,盖浇饭|简餐|,否,蜂鸟专送,15956209289,"[""10:00/20:00""]",27,"1 ： 新用户下单立减10元;",15,远距离配送费5,否,3,3,3,3,4,0,3,3,2,1,1,1
南拳妈妈海鲜炒饭,安徽省,铜陵市,铜官区,铜官区步行街银杏商贸城2号楼外115号,117.812665,30.927481,简餐|盖浇饭|,否,蜂鸟专送,16605623338,"[""10:00/21:00""]",1,"1 ： 满20减12，满30减18;2 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
HELLO27,安徽省,铜陵市,铜官区,铜陵市双星国际大厦北楼1711室,117.810249,30.928441,西餐|,否,蜂鸟专送,13866506660,"[""10:30/19:30""]",5,"1 ： 满20减10，满50减20，满79减30;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;",15,配送费4,否,4.5,4.5,4.5,5,5,0,5,4.5,2,2,0,2
酸菜鱼(人民三路店),安徽省,铜陵市,铜官区,铜陵市人民新村29栋19号网点房,117.815162,30.931983,川湘菜|,否,蜂鸟专送,13805655266,"[""09:00/13:00"",""15:30/19:10""]",1,"1 ： 新用户下单立减10元;",20,远距离配送费9,否,0,0,0,0,0,0,0,0,0,0,0,0
龙门花甲（汇金店）,安徽省,铜陵市,铜官区,铜官区长江路汇金大食代负一层B1-10,117.81081,30.929859,海鲜|,否,蜂鸟专送,13865623344,"[""10:00/21:00""]",25,"1 ： 满20减2，满35减4，满50减6;2 ： 新用户下单立减10元;",15,配送费4,否,5,5,0,0,-1,0,0,0,1,1,0,0
美果汇水果大卖场,安徽省,铜陵市,铜官区,铜陵市铜陵商城3号地块A楼D2号网点,117.811044,30.927917,水果|,否,蜂鸟专送,17305621370,"[""10:00/22:00""]",1,"1 ： 满35减4;2 ： 新用户下单立减10元;",10,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
铜都一碗冰,安徽省,铜陵市,铜官区,铜官区沙河路1226号二层,117.812706,30.927923,甜品|奶茶果汁|,否,蜂鸟专送,15956218625,"[""10:00/22:00""]",75,"1 ： 新用户下单立减10元;",15,配送费4,否,4.92,4.92,2.84,2.88,2.48,0,2.88,2.84,25,25,0,0
鲜果坊(步行街店),安徽省,铜陵市,铜官区,铜官区步行街活动房313,117.813063,30.927895,水果|,否,蜂鸟专送,18805627158,"[""09:00/21:00""]",3,"1 ： 满100减1;2 ： 新用户下单立减10元;",15,配送费4,否,1,1,0,0,-1,0,0,0,1,0,1,0
悠百佳(铜陵店),安徽省,铜陵市,铜官区,铜官区金山东路548号,117.80946,30.919831,休闲零食|,否,蜂鸟专送,15056209444,"[""09:00/21:00""]",,"1 ： 新用户下单立减10元;",15,远距离配送费5,否,0,0,0,0,0,0,0,0,0,0,0,0
"ForReal Kaffee",安徽省,铜陵市,铜官区,铜陵市香格里拉城市花园13栋20号,117.805546,30.921462,咖啡|,否,蜂鸟专送,15956201527,"[""12:30/18:00""]",1,"1 ： 满20减3;2 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
幸福煎饺,安徽省,铜陵市,铜官区,铜陵市人民西村56栋商业网点,117.813563,30.931689,生煎锅贴|饺子馄饨|,否,蜂鸟专送,15956227690,"[""07:00/18:00""]",28,"1 ： 满25减1，满35减2;2 ： 新用户下单立减10元;",15,配送费4,否,5,5,4.1428571428571,4.1428571428571,4.1428571428571,0,4.1428571428571,4.1428571428571,7,7,0,0
弥茶（铜陵中央街店),安徽省,铜陵市,铜官区,铜陵市长江中路38-2号,117.811592,30.929492,奶茶果汁|甜品|,是,蜂鸟专送,18956268668,"[""00:00/00:05""]",4,"1 ： 满3减2，满20减6，满30减8;2 ： 新用户下单立减10元;",10,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
章记香酥鸡锁骨,安徽省,铜陵市,铜官区,爱国西村19栋11号网点,117.807409,30.920853,炸鸡炸串|地方小吃|,否,蜂鸟专送,13485627866,"[""16:00/01:00""]",1,"1 ： 满40减6;2 ： 新用户下单立减10元;",15,配送费1,否,0,0,0,0,0,0,0,0,0,0,0,0
U+海派品质菜馆,安徽省,铜陵市,铜官区,铜陵市沙河新村43栋网点8号,117.815901,30.926021,川湘菜|盖浇饭|,否,蜂鸟专送,18705626910,"[""09:00/02:00""]",1,"1 ： 满10减2，满20减3，满30减5;2 ： 新用户下单立减10元;",15,远距离配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
RB珍奶会所(铜陵唐人街店),安徽省,铜陵市,铜官区,铜陵市铜官区长江路电信世界后A2号,117.8147,30.927866,奶茶果汁|,否,蜂鸟专送,18356287930,"[""09:00/00:20""]",48,"1 ： 新用户下单立减10元;",15,远距离配送费5,否,4.7647058823529,4.7647058823529,2.7647058823529,2.7647058823529,2.3529411764706,0,2.7647058823529,2.7647058823529,17,16,0,1
王记小厨,安徽省,铜陵市,铜官区,铜官区青霞路网点6号,117.886281,30.932043,盖浇饭|简餐|,否,no,13731878503,"[""10:30/24:00""]",54,"1 ： 满100减1;2 ： 新用户下单立减10元;",25,免配送费,否,4.52,4.52,4.32,4.36,4.36,36,4.36,4.32,25,23,1,0
老乡鸡（铜陵紫金城店）,安徽省,铜陵市,铜官区,安徽省铜陵市铜官山区淮河大道华福大厦裙楼一层,117.813,30.933,简餐|地方小吃|,是,no,"05622868517,05622868517","[""00:00/06:25"",""06:30/23:55""]",438,"1 ： 新用户下单立减25元;",,配送费5,否,4.7692307692308,4.7692307692308,4.4230769230769,4.4230769230769,4.1923076923077,36,4.4230769230769,4.4230769230769,107,102,1,8
铜陵大牌档,安徽省,铜陵市,铜官区,铜陵市长江中路65号三层,117.811935,30.93014,简餐|川湘菜|,否,蜂鸟专送,0562-2805077,"[""10:45/13:30"",""16:30/21:00""]",159,"1 ： 满25减3，满40减5;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;6 ： 单品折扣;7 ： 单品定价;8 ： 单品定价;9 ： 单品折扣;10 ： 单品折扣;11 ： 单品折扣;12 ： 单品折扣;",15,免配送费,否,4.5463917525773,4.5463917525773,3.6122448979592,3.6530612244898,3.7731958762887,39,3.6530612244898,3.6122448979592,129,118,2,37
李记酸菜鱼外卖,安徽省,铜陵市,铜官区,铜陵市商北新村2栋94号网点,117.82292,30.925563,简餐|川湘菜|,否,蜂鸟专送,13305161878,"[""10:00/13:30"",""16:00/20:30""]",179,"1 ： 新用户下单立减10元;",15,配送费4,否,4.8571428571429,4.8571428571429,3.7226890756303,3.7563025210084,3.5966386554622,35,3.7563025210084,3.7226890756303,119,114,1,11
南京人家,安徽省,铜陵市,铜官区,铜陵市朝阳路456-1号,117.80592,30.927023,江浙菜|简餐|,否,蜂鸟专送,17705629977,"[""09:00/13:30"",""16:00/20:30""]",79,"1 ： 满25减5，满35减8，满55减10;2 ： 单品定价;3 ： 新用户下单立减10元;",15,配送费4,否,4.6271186440678,4.6271186440678,3.3220338983051,3.3728813559322,3.2033898305085,30,3.3728813559322,3.3220338983051,76,72,2,4
鲜露汤包,安徽省,铜陵市,铜官区,铜陵市长淮新村7栋3号网点,117.809409,30.931284,包子粥店|地方小吃|,否,蜂鸟专送,18356275005,"[""07:00/13:30"",""16:00/20:00""]",210,"1 ： 满15减2，满20减3，满30减4;2 ： 单品折扣;3 ： 新用户下单立减10元;4 ： 单品折扣;5 ： 单品折扣;6 ： 单品折扣;7 ： 单品折扣;",12,配送费2.5,否,4.9545454545455,4.9545454545455,4.4318181818182,4.4318181818182,4.3409090909091,30,4.4318181818182,4.4318181818182,46,45,0,16
陈厨老家菜馆(铜冠店),安徽省,铜陵市,铜官区,铜陵市铜冠花园14栋3号网点,117.807363,30.927153,其他菜系|简餐|,否,蜂鸟专送,2619171,"[""10:30/13:30"",""16:00/20:30""]",214,"1 ： 满50减1;2 ： 新用户下单立减10元;",15,免配送费,否,4.6871165644172,4.6871165644172,3.780487804878,3.8170731707317,3.9509202453988,37,3.8170731707317,3.780487804878,190,183,2,21
老冯淮南牛肉汤,安徽省,铜陵市,铜官区,安徽省铜陵市爱国西村22栋14号网点,117.808077,30.922755,米粉面馆|,否,蜂鸟专送,13305622130,"[""07:00/13:30"",""16:00/19:55""]",76,"1 ： 满100减1;2 ： 新用户下单立减10元;",15,配送费4,否,4.7291666666667,4.7291666666667,3.5208333333333,3.5833333333333,3.5416666666667,26,3.5833333333333,3.5208333333333,51,48,1,2
麦当劳（铜陵铜官山餐厅）,安徽省,铜陵市,铜官区,安徽省铜陵市长江西路百货商场一楼内,117.81713,30.92649,汉堡|炸鸡炸串|,是,no,0562-2823800,"[""07:00/03:00""]",1133,"1 ： 单品定价(限10:30-23:59);2 ： 单品定价(限10:30-23:59);3 ： 单品定价(限10:30-23:59);4 ： 单品定价(限10:30-23:59);5 ： 单品定价(限10:30-23:59);6 ： 单品定价(限10:30-23:59);7 ： 单品定价(限10:30-23:59);",30,配送费6,否,4.7914183551847,4.7914183551847,4.2731591448931,4.3064133016627,4.1942789034565,34,4.3064133016627,4.2731591448931,908,869,19,28
御丫(明珠店),安徽省,铜陵市,铜官区,铜陵市沙河新村29栋1层1号,117.81226,30.928672,炸鸡炸串|地方小吃|,否,蜂鸟专送,15005626556,"[""09:00/23:30""]",84,"1 ： 满20减1;2 ： 新用户下单立减10元;",10,配送费4,否,4.6818181818182,4.6818181818182,3.6136363636364,3.6363636363636,3.7272727272727,25,3.6363636363636,3.6136363636364,45,43,2,0
陈厨老家菜馆(天桥店),安徽省,铜陵市,铜官区,铜陵市五松路632号2楼,117.804838,30.932656,盖浇饭|简餐|,否,蜂鸟专送,5850686,"[""10:40/13:30"",""16:20/20:30""]",458,"1 ： 满50减1;2 ： 单品定价;3 ： 新用户下单立减10元;",15,免配送费,否,4.7352941176471,4.7352941176471,3.9854545454545,4.0690909090909,4.0147058823529,34,4.0690909090909,3.9854545454545,305,289,7,43
皖香居(杨家山店),安徽省,铜陵市,铜官区,铜官区杨家山大食代美食广场一层C1-C8，D8号,117.807467,30.92076,其他菜系|,否,蜂鸟专送,0562-2619677,"[""09:00/13:30"",""16:00/21:00""]",51,"1 ： 满50减1;2 ： 新用户下单立减10元;",15,配送费2,否,4.4,4.4,4.4,4.5333333333333,4.7333333333333,27,4.5333333333333,4.4,15,12,0,1
艾小全卤菜店,安徽省,铜陵市,铜官区,安徽省铜陵市机厂菜市场网点35号,117.789752,30.920764,鸭脖卤味|,否,蜂鸟专送,13856223370,"[""08:30/19:00""]",21,"1 ： 新用户下单立减10元;",15,配送费4,否,5,5,2.5,2.5,2,0,2.5,2.5,2,2,0,0
恒源超市(金御华府店),安徽省,铜陵市,铜官区,安徽省铜陵市金御华府6栋一层网点,117.79661,30.91239,便利店|大型超市|,否,蜂鸟专送,15605627979,"[""07:00/24:00""]",8,"1 ： 新用户下单立减10元;",15,配送费4,否,3,3,3,3,5,0,3,3,1,0,0,0
华莱士(淮河北路店),安徽省,铜陵市,铜官区,铜陵市淮河大道北段485号,117.812478,30.931945,汉堡|烧烤|,否,蜂鸟专送,13909664507,"[""07:30/02:00""]",1156,"1 ： 满20减18;2 ： 新用户下单立减10元;",15,配送费4,否,4.6666666666667,4.6666666666667,3.638036809816,3.6543967280164,3.7321063394683,31,3.6543967280164,3.638036809816,549,516,18,14
绝味鸭脖(人民电影院店),安徽省,铜陵市,铜官区,安徽省铜陵市铜陵商城乐都东街16号,117.812273,30.929492,鸭脖卤味|地方小吃|,是,蜂鸟专送,18656326605,"[""08:00/22:50""]",109,"1 ： 满35减2，满55减4，满79减6;",15,配送费3,否,4.7837837837838,4.7837837837838,3.6486486486486,3.6351351351351,3.4594594594595,22,3.6351351351351,3.6486486486486,79,75,0,0
老汤面疙瘩(天井湖店),安徽省,铜陵市,铜官区,铜陵市长江西路1805号网点,117.799567,30.936302,米粉面馆|,否,蜂鸟专送,13965202868,"[""08:30/20:30""]",44,"1 ： 满50减1;2 ： 新用户下单立减10元;",15,配送费4,否,4.7777777777778,4.7777777777778,3.9444444444444,3.7777777777778,4,29,3.7777777777778,3.9444444444444,18,18,0,1
符缸酸菜鸡,安徽省,铜陵市,铜官区,铜陵市商北新村8栋31号网点,117.823229,30.926478,川湘菜|,否,蜂鸟专送,13655628275,"[""10:00/14:00"",""16:30/23:55""]",1,"1 ： 满100减1;2 ： 新用户下单立减10元;",15,配送费40,否,0,0,0,0,0,0,0,0,0,0,0,0
百姓缘(铜陵五松新村店),安徽省,铜陵市,铜官区,安徽省铜陵市五松新村121栋,117.80807250338,30.92748583353,药店|,否,蜂鸟专送,15005625749,"[""08:00/20:30""]",37,"1 ： 满28减6，满49减20，满99减35，满199减50;2 ： 健康滋补节;3 ： 健康滋补节;4 ： 健康滋补节;5 ： 健康滋补节;",20,配送费3.5,否,4.875,4.875,4.375,4.375,4.25,18,4.375,4.375,8,8,0,0
来伊份(长江西路店7133店),安徽省,铜陵市,铜官区,安徽省铜陵市铜官山区长江西路2867号,117.80885700819,30.931442944498,休闲零食|,否,蜂鸟专送,0562-2812151,"[""09:30/21:30""]",7,no,20,配送费3.5,否,0,0,0,0,0,32,0,0,0,0,0,0
陈记炸酱面馆(笔架山路店),安徽省,铜陵市,铜官区,铜陵市红旗新村18栋39号网点,117.822361,30.919123,米粉面馆|简餐|,否,蜂鸟专送,0562-2666996,"[""10:00/19:30""]",166,"1 ： 满20减6，满32减10;2 ： 新用户下单立减10元;",15,远距离配送费7,否,4.5648854961832,4.5648854961832,3.8625954198473,4.0610687022901,4.1221374045802,27,4.0610687022901,3.8625954198473,143,126,7,12
百味鲜(西湖店),安徽省,铜陵市,铜官区,铜官区西湖大道2060号,117.857388,30.950769,川湘菜|小龙虾|,否,no,15178660037,"[""10:00/20:30""]",13,"1 ： 满40减3;2 ： 新用户下单立减10元;",15,配送费2,否,5,5,4.75,5,5,0,5,4.75,6,6,0,0
味千拉面(铜陵万达店),安徽省,铜陵市,铜官区,铜陵市万达广场内,117.83104,30.94502,米粉面馆|日韩料理|,是,蜂鸟专送,13305621979,"[""10:00/21:20""]",80,"1 ： 招牌味千豚骨叉烧拉面折扣;",15,配送费3,否,4.7575757575758,4.7575757575758,4,4.0909090909091,3.969696969697,28,4.0909090909091,4,34,31,1,1
肯德基宅急送（财富广场店）,安徽省,铜陵市,铜官区,安徽省铜陵市义安大道财富广场,117.818389,30.927715,汉堡|炸鸡炸串|,是,no,4009208801,"[""07:00/22:55""]",218,"1 ： 超值换购;2 ： 皮蛋瘦肉粥单人餐23;3 ： 六味小吃桶66;4 ： 74堡堡;",,配送费9,否,4.7575757575758,4.7575757575758,4.030303030303,4.0606060606061,3.7575757575758,40,4.0606060606061,4.030303030303,33,32,1,0
程记花甲螺蛳螃蟹扇贝(官塘一路店),安徽省,铜陵市,铜官区,铜陵市官塘一路145号,117.823959,30.932512,地方小吃|零食|,否,蜂鸟专送,17505620326,"[""09:00/04:00""]",77,"1 ： 满28减3，满38减4，满68减5，满88减7，满108减8;2 ： 满20元赠送送餐上楼1份;3 ： 新用户下单立减10元;",20,配送费3,否,4.7941176470588,4.7941176470588,3.9339622641509,4,3.9019607843137,31,4,3.9339622641509,107,104,1,16
砂锅麻辣烫,安徽省,铜陵市,铜官区,铜陵市长江路电信世界大楼后方唐人街F3F4号,117.814606,30.927759,麻辣烫|,否,no,18905629528,"[""08:30/20:00""]",300,"1 ： 满20减3，满35减5;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;7 ： 单品定价;8 ： 单品定价;9 ： 超值换购;10 ： 超值换购;",45,配送费3,否,4.5310734463277,4.5310734463277,3.5593220338983,3.5649717514124,3.3841807909605,35,3.5649717514124,3.5593220338983,187,167,8,5
肯德基宅急送现磨咖啡馆（财富广场店）,安徽省,铜陵市,铜官区,安徽省铜陵市义安大道财富广场,117.818389,30.927715,咖啡|炸鸡炸串|,否,no,4009208801,"[""10:00/22:00""]",4,no,,配送费9,否,5,5,5,5,5,40,5,5,1,1,0,0
DQ（铜陵万达店）,安徽省,铜陵市,铜官区,铜陵市万达广场内,117.830314,30.943635,奶茶果汁|甜品|,是,蜂鸟专送,4001088870,"[""10:00/21:00""]",42,"1 ： 单品定价;2 ： 单品折扣;3 ： 单品折扣;4 ： 单品定价;5 ： 单品定价;6 ： 单品折扣;7 ： 单品定价;8 ： 单品定价;9 ： 单品定价;10 ： 单品定价;11 ： 单品定价;12 ： 单品定价;13 ： 单品定价;14 ： 单品定价;15 ： 单品定价;16 ： 单品定价;17 ： 单品定价;18 ： 单品定价;19 ： 单品定价;20 ： 单品定价;21 ： 单品定价;22 ： 单品定价;23 ： 单品定价;24 ： 单品定价;25 ： 单品定价;26 ： 单品定价;27 ： 单品定价;28 ： 单品定价;29 ： 单品定价;30 ： 单品定价;31 ： 单品定价;32 ： 单品定价;33 ： 单品定价;34 ： 单品定价;35 ： 单品定价;36 ： 单品定价;37 ： 单品定价;38 ： 单品定价;39 ： 单品定价;40 ： 单品定价;41 ： 单品折扣;42 ： 单品折扣;43 ： 单品折扣;44 ： 单品折扣;45 ： 单品折扣;46 ： 单品折扣;47 ： 单品折扣;48 ： 单品折扣;49 ： 单品折扣;50 ： 单品折扣;51 ： 单品折扣;52 ： 单品折扣;53 ： 单品折扣;54 ： 单品折扣;55 ： 单品折扣;56 ： 单品折扣;57 ： 单品折扣;58 ： 单品折扣;",15,配送费3.5,否,5,5,4.9333333333333,4.9333333333333,5,30,4.9333333333333,4.9333333333333,15,15,0,0
奥斯客汉堡(官塘店),安徽省,铜陵市,铜官区,铜陵市官塘路网点9、10号网点,117.823494,30.933672,汉堡|奶茶果汁|,否,蜂鸟专送,13655621922,"[""09:00/04:00""]",59,"1 ： 满15减2，满20减3，满30减5;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;7 ： 单品定价;8 ： 单品定价;9 ： 单品定价;10 ： 单品定价;",10,配送费2,否,4.4,4.4,4,4.4,4.8,23,4.4,4,10,8,0,0
N多(铜陵中央商场店),安徽省,铜陵市,铜官区,铜陵市雨润中央商场内,117.81829,30.925762,日韩料理|,否,蜂鸟专送,18805622026,"[""09:30/21:00""]",50,"1 ： 满20减3，满28减6，满40减11;2 ： 新用户下单立减10元;",15,配送费3,否,4.6086956521739,4.6086956521739,3.9565217391304,3.9130434782609,3.8260869565217,28,3.9130434782609,3.9565217391304,23,21,1,1
蜀品香火锅米线,安徽省,铜陵市,铜官区,铜官区世纪商城1号楼负一层1号网点,117.813645,30.927156,盖浇饭|米粉面馆|,否,蜂鸟专送,18956205110,"[""10:00/02:00""]",47,"1 ： 满20减3，满50减10;2 ： 新用户下单立减10元;",10,配送费4,否,4.8333333333333,4.8333333333333,2.7666666666667,2.7666666666667,2.5,27,2.7666666666667,2.7666666666667,30,30,0,1
正宗重庆小面（三中店）,安徽省,铜陵市,铜官区,铜陵市育才路22号网点,117.80985,30.93642,米粉面馆|简餐|,否,蜂鸟专送,18326718882,"[""06:30/19:00""]",31,"1 ： 满40减6;2 ： 新用户下单立减10元;",15,配送费4,否,5,5,4.5,4.5,5,29,4.5,4.5,4,4,0,0
又卷烧饼(中央商城店),安徽省,铜陵市,铜官区,铜陵市雨润中央购物广场七楼,117.81829,30.925762,地方小吃|简餐|,否,蜂鸟专送,17681390629,"[""09:30/20:00""]",41,"1 ： 满20减6，满60减18;2 ： 新用户下单立减10元;",10,配送费4,否,4.8181818181818,4.8181818181818,3.9090909090909,4,3.9090909090909,32,4,3.9090909090909,11,11,0,0
阿姨很糯（人民电影院店),安徽省,铜陵市,铜官区,铜陵市长江中路232-3号,117.812273,30.929048,奶茶果汁|咖啡|,否,蜂鸟专送,15756005467,"[""09:30/22:00""]",81,"1 ： 新用户下单立减10元;",10,配送费4,否,4.6111111111111,4.6111111111111,3.2037037037037,3.2222222222222,3.0925925925926,25,3.2222222222222,3.2037037037037,59,52,3,5
